"/BIC/ZC_VYKAZ Výkaz";"/BIC/ZC_VTAB Tabulka výkazu";"/BIC/ZC_POLVYK Položka výkazu";"/BIC/ZC_SYNUC Syntetický účet";"/BIC/ZC_CISPOL Číslo položky";"DATEFROM Platí od";"DATETO Platí do";"TXTXL Dlouhý text"
"001";"000100";"A.";"-";"002";"20140101";"99991231";"Stálá aktiva"
"001";"000100";"A.";"-";"002";"20120101";"20131231";"Stálá aktiva"
"001";"000100";"A.";"-";"002";"10000101";"20111231";"Stálá aktiva"
"001";"000100";"A.I.";"-";"003";"20140101";"99991231";"Dlouhodobý nehmotný majetek"
"001";"000100";"A.I.";"-";"003";"20120101";"20131231";"Dlouhodobý nehmotný majetek"
"001";"000100";"A.I.";"-";"003";"10000101";"20111231";"Dlouhodobý nehmotný majetek"
"001";"000100";"A.I.1.";"012";"004";"20140101";"99991231";"Nehmotné výsledky výzkumu a vývoje"
"001";"000100";"A.I.1.";"012";"004";"20120101";"20131231";"Nehmotné výsledky výzkumu a vývoje"
"001";"000100";"A.I.1.";"012";"004";"10000101";"20111231";"Nehmotné výsledky výzkumu a vývoje"
"001";"000100";"A.I.10.";"035";"013";"20140101";"20151231";"Dlouhodobý nehmotný majetek určený k prodeji"
"001";"000100";"A.I.2.";"013";"005";"20140101";"99991231";"Software"
"001";"000100";"A.I.2.";"013";"005";"10000101";"20111231";"Software"
"001";"000100";"A.I.2.";"013";"005";"20120101";"20131231";"Software"
"001";"000100";"A.I.3.";"014";"006";"10000101";"20111231";"Ocenitelná práva"
"001";"000100";"A.I.3.";"014";"006";"20140101";"99991231";"Ocenitelná práva"
"001";"000100";"A.I.3.";"014";"006";"20120101";"20131231";"Ocenitelná práva"
"001";"000100";"A.I.4.";"015";"007";"20140101";"99991231";"Povolenky na emise a preferenční limity"
"001";"000100";"A.I.4.";"015";"007";"20120101";"20131231";"Povolenky na emise a preferenční limity"
"001";"000100";"A.I.4.";"015";"007";"10000101";"20111231";"Povolenky na emise a preferenční limity"
"001";"000100";"A.I.5.";"018";"008";"20140101";"99991231";"Drobný dlouhodobý nehmotný majetek"
"001";"000100";"A.I.5.";"018";"008";"20120101";"20131231";"Drobný dlouhodobý nehmotný majetek"
"001";"000100";"A.I.5.";"018";"008";"10000101";"20111231";"Drobný dlouhodobý nehmotný majetek"
"001";"000100";"A.I.6.";"019";"009";"10000101";"20111231";"Ostatní dlouhodobý nehmotný majetek"
"001";"000100";"A.I.6.";"019";"009";"20120101";"20131231";"Ostatní dlouhodobý nehmotný majetek"
"001";"000100";"A.I.6.";"019";"009";"20140101";"99991231";"Ostatní dlouhodobý nehmotný majetek"
"001";"000100";"A.I.7.";"041";"010";"10000101";"20111231";"Nedokončený dlouhodobý nehmotný majetek"
"001";"000100";"A.I.7.";"041";"010";"20120101";"20131231";"Nedokončený dlouhodobý nehmotný majetek"
"001";"000100";"A.I.7.";"041";"010";"20140101";"99991231";"Nedokončený dlouhodobý nehmotný majetek"
"001";"000100";"A.I.8.";"051";"011";"20160101";"99991231";"Poskytnuté zálohy na dlouhodobý nehmotný majetek"
"001";"000100";"A.I.8.";"044";"011";"10000101";"20111231";"Uspořádací účet technického zhodnocení dlouhodobého nehmotného majetku"
"001";"000100";"A.I.8.";"044";"011";"20120101";"20131231";"Uspořádací účet technického zhodnocení dlouhodobého nehmotného majetku"
"001";"000100";"A.I.8.";"044";"011";"20140101";"20151231";"Uspořádací účet technického zhodnocení dlouhodobého nehmotného majetku"
"001";"000100";"A.I.9.";"051";"012";"20140101";"20151231";"Poskytnuté zálohy na dlouhodobý nehmotný majetek"
"001";"000100";"A.I.9.";"051";"012";"20120101";"20131231";"Poskytnuté zálohy na dlouhodobý nehmotný majetek"
"001";"000100";"A.I.9.";"035";"012";"20160101";"99991231";"Dlouhodobý nehmotný majetek určený k prodeji"
"001";"000100";"A.I.9.";"051";"012";"10000101";"20111231";"Poskytnuté zálohy na dlouhodobý nehmotný majetek"
