account_number,name_cz,account_class,account_group,type,balance_side,tax_deductible
0,Dlouhodobý majetek,0,,G,,
01,Dlouhodobý nehmotný majetek,0,01,G,,
011,Zřizovací výdaje,0,01,R,A,
012,Nehmotné výsledky výzkumu a vývoje,0,01,R,A,
013,Software,0,01,R,A,
014,Ostatní ocenitelná práva,0,01,R,A,
015,Goodwill,0,01,R,A,
019,Ostatní dlouhodobý nehmotný majetek,0,01,R,A,
02,Dlouhodobý hmotný majetek – odpisovaný,0,02,G,,
021,Stavby,0,02,R,A,
022,Hmotné movité věci a jejich soubory,0,02,R,A,
025,Pěstitelské celky trvalých porostů,0,02,R,A,
026,Dospělá zvířata a jejich skupiny,0,02,R,A,
029,Ostatní dlouhodobý hmotný majetek,0,02,R,A,
03,Dlouhodobý hmotný majetek – neodpisovaný,0,03,G,,
031,Pozemky,0,03,R,A,
032,Umělecká díla a sbírky,0,03,R,A,
04,Nedokončený dlouhodobý nehmotný a hmotný majetek a pořizovaný dlouhodobý finanční majetek,0,04,G,,
041,Nedokončený dlouhodobý nehmotný majetek,0,04,R,A,
042,Nedokončený dlouhodobý hmotný majetek,0,04,R,A,
043,Pořizovaný dlouhodobý finanční majetek,0,04,R,A,
05,Poskytnuté zálohy na dlouhodobý majetek,0,05,G,,
051,Poskytnuté zálohy na dlouhodobý nehmotný majetek,0,05,R,A,
052,Poskytnuté zálohy na dlouhodobý hmotný majetek,0,05,R,A,
053,Poskytnuté zálohy na dlouhodobý finanční majetek,0,05,R,A,
06,Dlouhodobý finanční majetek,0,06,G,,
061,Podíly – ovládaná nebo ovládající osoba,0,06,R,A,
062,Podíly – podstatný vliv,0,06,R,A,
063,Ostatní dlouhodobé cenné papíry a podíly,0,06,R,A,
065,Dluhové cenné papíry držené do splatnosti,0,06,R,A,
066,Zápůjčky a úvěry – ovládaná nebo ovládající osoba,0,06,R,A,
067,Ostatní zápůjčky a úvěry,0,06,R,A,
069,Ostatní dlouhodobý finanční majetek,0,06,R,A,
07,Oprávky k dlouhodobému nehmotnému majetku,0,07,G,,
071,Oprávky ke zřizovacím výdajům,0,07,R,A,
072,Oprávky k nehmotným výsledkům výzkumu a vývoje,0,07,R,A,
073,Oprávky k softwaru,0,07,R,A,
074,Oprávky k ostatním ocenitelným právům,0,07,R,A,
075,Oprávky ke goodwillu,0,07,R,A,
079,Oprávky k ostatnímu dlouhodobému nehmotnému majetku,0,07,R,A,
08,Oprávky k dlouhodobému hmotnému majetku,0,08,G,,
081,Oprávky ke stavbám,0,08,R,A,
082,Oprávky k hmotným movitým věcem a jejich souborům,0,08,R,A,
085,Oprávky k pěstitelským celkům trvalých porostů,0,08,R,A,
086,Oprávky k dospělým zvířatům a jejich skupinám,0,08,R,A,
089,Oprávky k ostatnímu dlouhodobému hmotnému majetku,0,08,R,A,
09,Opravné položky k dlouhodobému majetku,0,09,G,,
091,Opravná položka k dlouhodobému nehmotnému majetku,0,09,R,A,
092,Opravná položka k dlouhodobému hmotnému majetku,0,09,R,A,
093,Opravná položka k dlouhodobému nedokončenému nehmotnému majetku,0,09,R,A,
094,Opravná položka k dlouhodobému nedokončenému hmotnému majetku,0,09,R,A,
095,Opravná položka k poskytnutým zálohám na dlouhodobý majetek,0,09,R,A,
096,Opravná položka k dlouhodobému finančnímu majetku,0,09,R,A,
097,Oceňovací rozdíl k nabytému majetku,0,09,R,A,
098,Oprávky k oceňovacímu rozdílu k nabytému majetku,0,09,R,A,
1,Zásoby,1,,G,,
11,Materiál,1,11,G,,
111,Pořízení materiálu,1,11,R,A,
112,Materiál na skladě,1,11,R,A,
119,Materiál na cestě,1,11,R,A,
12,Zásoby vlastní činnosti,1,12,G,,
121,Nedokončená výroba,1,12,R,A,
122,Polotovary vlastní výroby,1,12,R,A,
123,Výrobky,1,12,R,A,
124,Mladá a ostatní zvířata a jejich skupiny,1,12,R,A,
13,Zboží,1,13,G,,
131,Pořízení zboží,1,13,R,A,
132,Zboží na skladě a v prodejnách,1,13,R,A,
139,Zboží na cestě,1,13,R,A,
15,Poskytnuté zálohy na zásoby,1,15,G,,
151,Poskytnuté zálohy na materiál,1,15,R,A,
152,Poskytnuté zálohy na zboží,1,15,R,A,
