"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Assets - Aktiva - 资产","","","","1","","Asset","CZK"
"Liabilities - Pasiva - 负债","","","","1","","Liability","CZK"
"Equity - Vlastní kapitál - 权益","","","","1","","Equity","CZK"
"Expenses - Náklady - 费用","","","","1","Expense Account","Expense","CZK"
"Income - Výnosy - 收入","","","","1","Income Account","Income","CZK"
"A. - Stálá aktiva / 固定资产 / Инвестиционные активы","Assets - Aktiva - 资产","","","1","","Asset","CZK"
"B. - Oběžná aktiva / 流动资产 / Оборотные активы","Assets - Aktiva - 资产","","","1","","Asset","CZK"
"C. - Vlastní kapitál / 所有者权益 / Собственный капитал","Equity - Vlastní kapitál - 权益","","","1","","Equity","CZK"
"D. - Cizí zdroje / 负债 / Обязательства","Liabilities - Pasiva - 负债","","","1","","Liability","CZK"
"A. - NÁKLADY CELKEM / 总费用 / Общие расходы","Expenses - Náklady - 费用","","","1","","Expense","CZK"
"B. - VÝNOSY CELKEM / 总收入 / Общие доходы","Income - Výnosy - 收入","","","1","","Income","CZK"
"C. - VÝSLEDEK HOSPODAŘENÍ / 经营成果 / Результат хозяйствования","Income - Výnosy - 收入","","","1","","Income","CZK"
"A.I. - Dlouhodobý nehmotný majetek / 长期无形资产 / Долгосрочные нематериальные активы","A. - Stálá aktiva / 固定资产 / Инвестиционные активы","","","1","","Asset","CZK"
"B.I. - Zásoby / 存货 / Запасы","B. - Oběžná aktiva / 流动资产 / Оборотные активы","","","1","","Asset","CZK"
"C.I. - Jmění účetní jednotky a upravující položky / 会计单位净资产及调整项目 / Имущество бухгалтерской единицы и корректирующие статьи","C. - Vlastní kapitál / 所有者权益 / Собственный капитал","","","1","","Equity","CZK"
"D.I. - Rezervy / 预计负债 / Резервы","D. - Cizí zdroje / 负债 / Обязательства","","","1","","Liability","CZK"
"A.I. - Náklady z činnosti / 经营活动费用 / Расходы от деятельности","A. - NÁKLADY CELKEM / 总费用 / Общие расходы","","","1","","Expense","CZK"
"A.V. - Daň z příjmů / 所得税 / Налог на доходы","A. - NÁKLADY CELKEM / 总费用 / Общие расходы","","","1","","Expense","CZK"
"B.I. - Výnosy z činnosti / 经营活动收入 / Доходы от деятельности","B. - VÝNOSY CELKEM / 总收入 / Общие доходы","","","1","","Income","CZK"
"B.V. - Výnosy ze sdílených daní a poplatků / 共享税及费用收入 / Доходы от совместных налогов и сборов","B. - VÝNOSY CELKEM / 总收入 / Общие доходы","","","1","","Income","CZK"
"C.1. - Výsledek hospodaření před zdaněním / 税前经营成果 / Результат хозяйствования до налогообложения","C. - VÝSLEDEK HOSPODAŘENÍ / 经营成果 / Результат хозяйствования","","","1","","Income","CZK"
"C.2. - Výsledek hospodaření běžného účetního období / 当前财政年度经营成果 / Результат управления текущего отчетного периода","C. - VÝSLEDEK HOSPODAŘENÍ / 经营成果 / Результат хозяйствования","","","1","","Income","CZK"
"A.II. - Dlouhodobý hmotný majetek / 长期有形资产 / Долгосрочные материальные активы","A. - Stálá aktiva / 固定资产 / Инвестиционные активы","","","1","","Asset","CZK"
"A.IV. - Dlouhodobé pohledávky / 长期应收款 / Долгосрочные дебиторские задолженности","A. - Stálá aktiva / 固定资产 / Инвестиционные активы","","","1","","Asset","CZK"
"B.II. - Krátkodobé pohledávky / 短期应收款项 / Краткосрочные дебиторские задолженности","B. - Oběžná aktiva / 流动资产 / Оборотные активы","","","1","","Asset","CZK"
"C.II. - Fondy účetní jednotky / 会计单位基金 / Фонды учетной единицы","C. - Vlastní kapitál / 所有者权益 / Собственный капитал","","","1","","Equity","CZK"
"C.IV. - Příjmový a výdajový účet rozpočtového hospodaření / 预算收支账户 / Доходно-расходный счет бюджетного управления","C. - Vlastní kapitál / 所有者权益 / Собственный капитал","","","1","","Equity","CZK"
"D.II. - Dlouhodobé závazky / 长期负债 / Долгосрочные обязательства","D. - Cizí zdroje / 负债 / Обязательства","","","1","","Liability","CZK"
"A.II. - Finanční náklady / 财务费用 / Финансовые расходы","A. - NÁKLADY CELKEM / 总费用 / Общие расходы","","","1","","Expense","CZK"
"A.IV. - Náklady ze sdílených daní a poplatků / 共享税和费用 / Расходы из совместно используемых налогов и сборов","A. - NÁKLADY CELKEM / 总费用 / Общие расходы","","","1","","Expense","CZK"
"B.II. - Finanční výnosy / 财务收入 / Финансовые доходы","B. - VÝNOSY CELKEM / 总收入 / Общие доходы","","","1","","Income","CZK"
"B.IV. - Výnosy z transferů / 转移收入 / Доходы от трансфертов","B. - VÝNOSY CELKEM / 总收入 / Общие доходы","","","1","","Income","CZK"
"A.I.1. - Nehmotné výsledky výzkumu a vývoje / 无形资产 - 研发 / Нематериальные результаты исследований и разработок","A.I. - Dlouhodobý nehmotný majetek / 长期无形资产 / Долгосрочные нематериальные активы","","","1","","Asset","CZK"
"012 - Nehmotné výsledky výzkumu a vývoje / 无形资产 - 研发 / Нематериальные результаты исследований и разработок","A.I.1. - Nehmotné výsledky výzkumu a vývoje / 无形资产 - 研发 / Нематериальные результаты исследований и разработок","012","","0","","Asset","CZK"
"A.I.2. - Software / 软件 / Программное обеспечение","A.I. - Dlouhodobý nehmotný majetek / 长期无形资产 / Долгосрочные нематериальные активы","","","1","","Asset","CZK"
"013 - Software / 软件 / Программное обеспечение","A.I.2. - Software / 软件 / Программное обеспечение","013","","0","","Asset","CZK"
