"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Assets - Aktiva - 资产","","","","1","","Asset","CZK"
"Liabilities - Pasiva - 负债","","","","1","","Liability","CZK"
"Equity - Vlastní kapitál - 权益","","","","1","","Equity","CZK"
"Expenses - Náklady - 费用","","","","1","Expense Account","Expense","CZK"
"Income - Výnosy - 收入","","","","1","Income Account","Income","CZK"
"A. - Stálá aktiva / Fixed Assets / 固定资产","Assets - Aktiva - 资产","","","1","","Asset","CZK"
"B. - Oběžná aktiva / Current Assets / 流动资产","Assets - Aktiva - 资产","","","1","","Asset","CZK"
"C. - Vlastní kapitál / Equity / Net Assets / 所有者权益 / 净资产","Equity - Vlastní kapitál - 权益","","","1","","Equity","CZK"
"D. - Cizí zdroje / Liabilities / 负债","Liabilities - Pasiva - 负债","","","1","","Liability","CZK"
"A. - NÁKLADY CELKEM / Total Expenses / 总费用","Expenses - Náklady - 费用","","","1","","Expense","CZK"
"B. - VÝNOSY CELKEM / Total Revenues / 总收入","Income - Výnosy - 收入","","","1","","Income","CZK"
"C. - VÝSLEDEK HOSPODAŘENÍ / Operating Result / 经营成果","Income - Výnosy - 收入","","","1","","Income","CZK"
"A.I. - Dlouhodobý nehmotný majetek / Long-term Intangible Assets / 长期无形资产","A. - Stálá aktiva / Fixed Assets / 固定资产","","","1","","Asset","CZK"
"B.I. - Zásoby / Inventories / 存货","B. - Oběžná aktiva / Current Assets / 流动资产","","","1","","Asset","CZK"
"C.I. - Jmění účetní jednotky a upravující položky / Equity of the Accounting Unit and Adjusting Items / 会计单位净资产及调整项目","C. - Vlastní kapitál / Equity / Net Assets / 所有者权益 / 净资产","","","1","","Equity","CZK"
"D.I. - Rezervy / Provisions / 预计负债","D. - Cizí zdroje / Liabilities / 负债","","","1","","Liability","CZK"
"A.I. - Náklady z činnosti / Operating Expenses / 经营费用","A. - NÁKLADY CELKEM / Total Expenses / 总费用","","","1","","Expense","CZK"
"A.V. - Daň z příjmů / Income Tax / 所得税","A. - NÁKLADY CELKEM / Total Expenses / 总费用","","","1","","Expense","CZK"
"B.I. - Výnosy z činnosti / Operating Income / 经营收入","B. - VÝNOSY CELKEM / Total Revenues / 总收入","","","1","","Income","CZK"
"B.V. - Výnosy ze sdílených daní a poplatků / Revenue from Shared Taxes and Fees / 共享税和费用的收入","B. - VÝNOSY CELKEM / Total Revenues / 总收入","","","1","","Income","CZK"
"C.1. - Výsledek hospodaření před zdaněním / Operating Result Before Tax / 税前经营成果","C. - VÝSLEDEK HOSPODAŘENÍ / Operating Result / 经营成果","","","1","","Income","CZK"
"C.2. - Výsledek hospodaření běžného účetního období / Result of Operations for the Regular Accounting Period / 常规会计期间的经营成果","C. - VÝSLEDEK HOSPODAŘENÍ / Operating Result / 经营成果","","","1","","Income","CZK"
"A.II. - Dlouhodobý hmotný majetek / Long-term Tangible Assets / 长期有形资产","A. - Stálá aktiva / Fixed Assets / 固定资产","","","1","","Asset","CZK"
"A.IV. - Dlouhodobé pohledávky / Long-term Receivables / 长期应收款","A. - Stálá aktiva / Fixed Assets / 固定资产","","","1","","Asset","CZK"
"B.II. - Krátkodobé pohledávky / Short-term Receivables / 短期应收款项","B. - Oběžná aktiva / Current Assets / 流动资产","","","1","","Asset","CZK"
"C.II. - Fondy účetní jednotky / Accounting Unit Funds / 会计单位基金","C. - Vlastní kapitál / Equity / Net Assets / 所有者权益 / 净资产","","","1","","Equity","CZK"
"C.IV. - Příjmový a výdajový účet rozpočtového hospodaření / Budgetary Revenue and Expenditure Account / 预算收支账户","C. - Vlastní kapitál / Equity / Net Assets / 所有者权益 / 净资产","","","1","","Equity","CZK"
"D.II. - Dlouhodobé závazky / Long-term Liabilities / 长期负债","D. - Cizí zdroje / Liabilities / 负债","","","1","","Liability","CZK"
"A.II. - Finanční náklady / Financial Expenses / 财务费用","A. - NÁKLADY CELKEM / Total Expenses / 总费用","","","1","","Expense","CZK"
"A.IV. - Náklady ze sdílených daní a poplatků / Expenses from Shared Taxes and Fees / 共享税及费用支出","A. - NÁKLADY CELKEM / Total Expenses / 总费用","","","1","","Expense","CZK"
"B.II. - Finanční výnosy / Financial Income / 财务收入","B. - VÝNOSY CELKEM / Total Revenues / 总收入","","","1","","Income","CZK"
"B.IV. - Výnosy z transferů / Revenue from Transfers / 转移收入","B. - VÝNOSY CELKEM / Total Revenues / 总收入","","","1","","Income","CZK"
"A.I.1. - Nehmotné výsledky výzkumu a vývoje / Intangible Results of Research and Development / 研究与开发的无形成果","A.I. - Dlouhodobý nehmotný majetek / Long-term Intangible Assets / 长期无形资产","","","1","","Asset","CZK"
"012 - Nehmotné výsledky výzkumu a vývoje / Intangible Results of Research and Development / 研究与开发的无形成果","A.I.1. - Nehmotné výsledky výzkumu a vývoje / Intangible Results of Research and Development / 研究与开发的无形成果","012","","0","","Asset","CZK"
"A.I.2. - Software","A.I. - Dlouhodobý nehmotný majetek / Long-term Intangible Assets / 长期无形资产","","","1","","Asset","CZK"
"013 - Software","A.I.2. - Software","013","","0","","Asset","CZK"
"A.I.3. - Ocenitelná práva / Measurable Rights / 可计量权利","A.I. - Dlouhodobý nehmotný majetek / Long-term Intangible Assets / 长期无形资产","","","1","","Asset","CZK"
