"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Assets - Aktiva","","","","1","","Asset","CZK"
"Liabilities - Závazky","","","","1","","Liability","CZK"
"Equity - Vlastní kapitál","","","","1","","Equity","CZK"
"Expenses - Náklady","","","","1","Expense Account","Expense","CZK"
"Income - Výnosy","","","","1","Income Account","Income","CZK"
"Dlouhodobý majetek / Non-current Assets / 非流动资产","Assets - Aktiva","0","","1","","Asset","CZK"
"Dlouhodobý nehmotný majetek / Intangible Assets / 无形资产","Dlouhodobý majetek / Non-current Assets / 非流动资产","01","0","1","","Asset","CZK"
"Zřizovací výdaje / Start-up Costs / 开办费","Dlouhodobý nehmotný majetek / Intangible Assets / 无形资产","011","01","0","","Asset","CZK"
"Nehmotné výsledky výzkumu a vývoje / Research and Development Results / 研究与开发成果","Dlouhodobý nehmotný majetek / Intangible Assets / 无形资产","012","01","0","","Asset","CZK"
"Software / Software / 软件","Dlouhodobý nehmotný majetek / Intangible Assets / 无形资产","013","01","0","","Asset","CZK"
"Ostatní ocenitelná práva / Other Identifiable Rights / 其他可识别权利","Dlouhodobý nehmotný majetek / Intangible Assets / 无形资产","014","01","0","","Asset","CZK"
"Goodwill / Goodwill / 商誉","Dlouhodobý nehmotný majetek / Intangible Assets / 无形资产","015","01","0","","Asset","CZK"
"Ostatní dlouhodobý nehmotný majetek / Other Intangible Assets / 其他无形资产","Dlouhodobý nehmotný majetek / Intangible Assets / 无形资产","019","01","0","","Asset","CZK"
"Dlouhodobý hmotný majetek – odpisovaný / Tangible Fixed Assets – Depreciable / 有形固定资产-应折旧","Dlouhodobý majetek / Non-current Assets / 非流动资产","02","0","1","","Asset","CZK"
"Stavby / Buildings / 建筑物","Dlouhodobý hmotný majetek – odpisovaný / Tangible Fixed Assets – Depreciable / 有形固定资产-应折旧","021","02","0","Fixed Asset","Asset","CZK"
"Hmotné movité věci a jejich soubory / Tangible Movable Assets and Their Groups / 有形动产及其组合","Dlouhodobý hmotný majetek – odpisovaný / Tangible Fixed Assets – Depreciable / 有形固定资产-应折旧","022","02","0","Fixed Asset","Asset","CZK"
"Pěstitelské celky trvalých porostů / Permanent Crop Cultivation Units / 永久性作物种植单位","Dlouhodobý hmotný majetek – odpisovaný / Tangible Fixed Assets – Depreciable / 有形固定资产-应折旧","025","02","0","Fixed Asset","Asset","CZK"
