"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Assets - Aktiva","","","","1","","Asset","CZK"
"Liabilities - Závazky","","","","1","","Liability","CZK"
"Equity - Vlastní kapitál","","","","1","","Equity","CZK"
"Expenses - Náklady","","","","1","Expense Account","Expense","CZK"
"Income - Výnosy","","","","1","Income Account","Income","CZK"
"Dlouhodobý majetek / Long-term Assets","Assets - Aktiva","0","","1","","Asset","CZK"
"Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","Dlouhodobý majetek / Long-term Assets","01","0","1","","Asset","CZK"
"Zřizovací výdaje / Start-up Costs","Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","011","01","0","","Asset","CZK"
"Nehmotné výsledky výzkumu a vývoje / Intangible Assets - Research and Development","Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","012","01","0","","Asset","CZK"
"Software / Software","Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","013","01","0","","Asset","CZK"
"Ostatní ocenitelná práva / Other Valuable Rights","Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","014","01","0","","Asset","CZK"
"Goodwill / Goodwill","Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","015","01","0","","Asset","CZK"
"Ostatní dlouhodobý nehmotný majetek / Other Long-term Intangible Assets","Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","019","01","0","","Asset","CZK"
"Dlouhodobý hmotný majetek – odpisovaný / Depreciable Long-term Tangible Assets","Dlouhodobý majetek / Long-term Assets","02","0","1","","Asset","CZK"
"Stavby / Buildings","Dlouhodobý hmotný majetek – odpisovaný / Depreciable Long-term Tangible Assets","021","02","0","Fixed Asset","Asset","CZK"
"Hmotné movité věci a jejich soubory / Tangible Movable Property and Groups","Dlouhodobý hmotný majetek – odpisovaný / Depreciable Long-term Tangible Assets","022","02","0","Fixed Asset","Asset","CZK"
"Pěstitelské celky trvalých porostů / Perennial Crop Plantations","Dlouhodobý hmotný majetek – odpisovaný / Depreciable Long-term Tangible Assets","025","02","0","Fixed Asset","Asset","CZK"
"Dospělá zvířata a jejich skupiny / Mature Animals and Groups","Dlouhodobý hmotný majetek – odpisovaný / Depreciable Long-term Tangible Assets","026","02","0","Fixed Asset","Asset","CZK"
"Ostatní dlouhodobý hmotný majetek / Other Long-term Tangible Assets","Dlouhodobý hmotný majetek – odpisovaný / Depreciable Long-term Tangible Assets","029","02","0","Fixed Asset","Asset","CZK"
