"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Assets - Aktiva","","","","1","","Asset","CZK"
"Liabilities - Závazky","","","","1","","Liability","CZK"
"Equity - Vlastní kapitál","","","","1","","Equity","CZK"
"Expenses - Náklady","","","","1","Expense Account","Expense","CZK"
"Income - Výnosy","","","","1","Income Account","Income","CZK"
"0 - Dlouhodobý majetek / 长期资产 / Long-term Assets","Assets - Aktiva","","","1","","Asset","CZK"
"01 - Dlouhodobý nehmotný majetek / 长期无形资产 / Intangible Assets - Long-term","0 - Dlouhodobý majetek / 长期资产 / Long-term Assets","","","1","","Asset","CZK"
"011 - Zřizovací výdaje / 开办费 / Start-up Costs","01 - Dlouhodobý nehmotný majetek / 长期无形资产 / Intangible Assets - Long-term","011","","0","","Asset","CZK"
"012 - Nehmotné výsledky výzkumu a vývoje / 无形资产 - 研发 / Intangible Assets - Research and Development","01 - Dlouhodobý nehmotný majetek / 长期无形资产 / Intangible Assets - Long-term","012","","0","","Asset","CZK"
"013 - Software / 软件 / Software","01 - Dlouhodobý nehmotný majetek / 长期无形资产 / Intangible Assets - Long-term","013","","0","","Asset","CZK"
"014 - Ostatní ocenitelná práva / 其他可估价权利 / Other Valuable Rights","01 - Dlouhodobý nehmotný majetek / 长期无形资产 / Intangible Assets - Long-term","014","","0","","Asset","CZK"
"015 - Goodwill / 商誉 / Goodwill","01 - Dlouhodobý nehmotný majetek / 长期无形资产 / Intangible Assets - Long-term","015","","0","","Asset","CZK"
"019 - Ostatní dlouhodobý nehmotný majetek / 其他长期无形资产 / Other Long-term Intangible Assets","01 - Dlouhodobý nehmotný majetek / 长期无形资产 / Intangible Assets - Long-term","019","","0","","Asset","CZK"
"02 - Dlouhodobý hmotný majetek – odpisovaný / 长期有形资产 - 可折旧 / Depreciable Long-term Tangible Assets","0 - Dlouhodobý majetek / 长期资产 / Long-term Assets","","","1","","Asset","CZK"
"021 - Stavby / 建筑物 / Buildings","02 - Dlouhodobý hmotný majetek – odpisovaný / 长期有形资产 - 可折旧 / Depreciable Long-term Tangible Assets","021","","0","Fixed Asset","Asset","CZK"
"022 - Hmotné movité věci a jejich soubory / 有形动产及其集合 / Tangible Movable Property and Groups","02 - Dlouhodobý hmotný majetek – odpisovaný / 长期有形资产 - 可折旧 / Depreciable Long-term Tangible Assets","022","","0","Fixed Asset","Asset","CZK"
