"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Assets - Aktiva","","","","1","","Asset","CZK"
"Liabilities - Závazky","","","","1","","Liability","CZK"
"Equity - Vlastní kapitál","","","","1","","Equity","CZK"
"Expenses - Náklady","","","","1","Expense Account","Expense","CZK"
"Income - Výnosy","","","","1","Income Account","Income","CZK"
"0 - Dlouhodobý majetek / 长期资产","Assets - Aktiva","0","","1","","Asset",""
"01 - Dlouhodobý nehmotný majetek / 长期无形资产","0 - Dlouhodobý majetek / 长期资产","01","0","1","","Asset",""
"011 - Zřizovací výdaje / 开办费","01 - Dlouhodobý nehmotný majetek / 长期无形资产","011","01","0","","Asset","CZK"
"012 - Nehmotné výsledky výzkumu a vývoje / 无形资产 - 研发","01 - Dlouhodobý nehmotný majetek / 长期无形资产","012","01","0","","Asset","CZK"
"013 - Software / 软件","01 - Dlouhodobý nehmotný majetek / 长期无形资产","013","01","0","","Asset","CZK"
"014 - Ostatní ocenitelná práva / 其他可估价权利","01 - Dlouhodobý nehmotný majetek / 长期无形资产","014","01","0","","Asset","CZK"
"015 - Goodwill / 商誉","01 - Dlouhodobý nehmotný majetek / 长期无形资产","015","01","0","","Asset","CZK"
"019 - Ostatní dlouhodobý nehmotný majetek / 其他长期无形资产","01 - Dlouhodobý nehmotný majetek / 长期无形资产","019","01","0","","Asset","CZK"
"02 - Dlouhodobý hmotný majetek – odpisovaný / 长期有形资产 - 可折旧","0 - Dlouhodobý majetek / 长期资产","02","0","1","","Asset",""
"021 - Stavby / 建筑物","02 - Dlouhodobý hmotný majetek – odpisovaný / 长期有形资产 - 可折旧","021","02","0","Fixed Asset","Asset","CZK"
"022 - Hmotné movité věci a jejich soubory / 有形动产及其集合","02 - Dlouhodobý hmotný majetek – odpisovaný / 长期有形资产 - 可折旧","022","02","0","Fixed Asset","Asset","CZK"
"025 - Pěstitelské celky trvalých porostů / 多年生作物种植园","02 - Dlouhodobý hmotný majetek – odpisovaný / 长期有形资产 - 可折旧","025","02","0","Fixed Asset","Asset","CZK"
"026 - Dospělá zvířata a jejich skupiny / 成年动物及其群体","02 - Dlouhodobý hmotný majetek – odpisovaný / 长期有形资产 - 可折旧","026","02","0","Fixed Asset","Asset","CZK"
"029 - Ostatní dlouhodobý hmotný majetek / 其他长期有形资产","02 - Dlouhodobý hmotný majetek – odpisovaný / 长期有形资产 - 可折旧","029","02","0","Fixed Asset","Asset","CZK"
