"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Assets - Aktiva","","","","1","","Asset","CZK"
"Liabilities - Závazky","","","","1","","Liability","CZK"
"Equity - Vlastní kapitál","","","","1","","Equity","CZK"
"Expenses - Náklady","","","","1","Expense Account","Expense","CZK"
"Income - Výnosy","","","","1","Income Account","Income","CZK"
"Dlouhodobý majetek","Assets - Aktiva","0","","1","","Asset","CZK"
"Dlouhodobý nehmotný majetek","Dlouhodobý majetek","01","0","1","","Asset","CZK"
"Zřizovací výdaje","Dlouhodobý nehmotný majetek","011","01","0","","Asset","CZK"
"Nehmotné výsledky výzkumu a vývoje","Dlouhodobý nehmotný majetek","012","01","0","","Asset","CZK"
"Software","Dlouhodobý nehmotný majetek","013","01","0","","Asset","CZK"
"Ostatní ocenitelná práva","Dlouhodobý nehmotný majetek","014","01","0","","Asset","CZK"
"Goodwill","Dlouhodobý nehmotný majetek","015","01","0","","Asset","CZK"
"Ostatní dlouhodobý nehmotný majetek","Dlouhodobý nehmotný majetek","019","01","0","","Asset","CZK"
"Dlouhodobý hmotný majetek – odpisovaný","Dlouhodobý majetek","02","0","1","","Asset","CZK"
"Stavby","Dlouhodobý hmotný majetek – odpisovaný","021","02","0","Fixed Asset","Asset","CZK"
"Hmotné movité věci a jejich soubory","Dlouhodobý hmotný majetek – odpisovaný","022","02","0","Fixed Asset","Asset","CZK"
"Pěstitelské celky trvalých porostů","Dlouhodobý hmotný majetek – odpisovaný","025","02","0","Fixed Asset","Asset","CZK"
"Dospělá zvířata a jejich skupiny","Dlouhodobý hmotný majetek – odpisovaný","026","02","0","Fixed Asset","Asset","CZK"
"Ostatní dlouhodobý hmotný majetek","Dlouhodobý hmotný majetek – odpisovaný","029","02","0","Fixed Asset","Asset","CZK"
"Dlouhodobý hmotný majetek – neodpisovaný","Dlouhodobý majetek","03","0","1","","Asset","CZK"
"Pozemky","Dlouhodobý hmotný majetek – neodpisovaný","031","03","0","Fixed Asset","Asset","CZK"
"Umělecká díla a sbírky","Dlouhodobý hmotný majetek – neodpisovaný","032","03","0","Fixed Asset","Asset","CZK"
"Nedokončený dlouhodobý nehmotný a hmotný majetek a pořizovaný dlouhodobý finanční majetek","Dlouhodobý majetek","04","0","1","","Asset","CZK"
"Nedokončený dlouhodobý nehmotný majetek","Nedokončený dlouhodobý nehmotný a hmotný majetek a pořizovaný dlouhodobý finanční majetek","041","04","0","","Asset","CZK"
