"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Assets - Aktiva - 资产","","","","1","","Asset","CZK"
"Liabilities - Pasiva - 负债","","","","1","","Liability","CZK"
"Equity - Vlastní kapitál - 权益","","","","1","","Equity","CZK"
"Expenses - Náklady - 费用","","","","1","Expense Account","Expense","CZK"
"Income - Výnosy - 收入","","","","1","Income Account","Income","CZK"
"A. - Stálá aktiva / Anlagevermögen / Инвестиционные активы","Assets - Aktiva - 资产","","","1","","Asset","CZK"
"B. - Oběžná aktiva / Umlaufvermögen / Оборотные активы","Assets - Aktiva - 资产","","","1","","Asset","CZK"
"C. - Vlastní kapitál / Eigenkapital / Собственный капитал","Equity - Vlastní kapitál - 权益","","","1","","Equity","CZK"
"D. - Cizí zdroje / Verbindlichkeiten / Обязательства","Liabilities - Pasiva - 负债","","","1","","Liability","CZK"
"A. - NÁKLADY CELKEM / Gesamtkosten / Общие расходы","Expenses - Náklady - 费用","","","1","","Expense","CZK"
"B. - VÝNOSY CELKEM / Gesamteinnahmen / Общие доходы","Income - Výnosy - 收入","","","1","","Income","CZK"
"C. - VÝSLEDEK HOSPODAŘENÍ / Ergebnis der Haushaltsführung / Результат хозяйствования","Income - Výnosy - 收入","","","1","","Income","CZK"
"A.I. - Dlouhodobý nehmotný majetek / Langfristige immaterielle Vermögenswerte / Долгосрочные нематериальные активы","A. - Stálá aktiva / Anlagevermögen / Инвестиционные активы","","","1","","Asset","CZK"
"B.I. - Zásoby / Vorräte / Запасы","B. - Oběžná aktiva / Umlaufvermögen / Оборотные активы","","","1","","Asset","CZK"
"C.I. - Jmění účetní jednotky a upravující položky / Vermögen der Buchhaltungseinheit und anpassende Posten / ИБЕиКС","C. - Vlastní kapitál / Eigenkapital / Собственный капитал","","","1","","Equity","CZK"
"D.I. - Rezervy / Rückstellungen / Резервы","D. - Cizí zdroje / Verbindlichkeiten / Обязательства","","","1","","Liability","CZK"
"A.I. - Náklady z činnosti / Kosten aus der Tätigkeit / Расходы от деятельности","A. - NÁKLADY CELKEM / Gesamtkosten / Общие расходы","","","1","","Expense","CZK"
"A.V. - Daň z příjmů / Einkommensteuer / Налог на доходы","A. - NÁKLADY CELKEM / Gesamtkosten / Общие расходы","","","1","","Expense","CZK"
"B.I. - Výnosy z činnosti / Einnahmen aus der Tätigkeit / Доходы от деятельности","B. - VÝNOSY CELKEM / Gesamteinnahmen / Общие доходы","","","1","","Income","CZK"
"B.V. - Výnosy ze sdílených daní a poplatků / Einnahmen aus geteilten Steuern und Gebühren / Доходы от совместных налогов и сборов","B. - VÝNOSY CELKEM / Gesamteinnahmen / Общие доходы","","","1","","Income","CZK"
"C.1. - Výsledek hospodaření před zdaněním / Ergebnis der Haushaltsführung vor Steuern / Результат хозяйствования до налогообложения","C. - VÝSLEDEK HOSPODAŘENÍ / Ergebnis der Haushaltsführung / Результат хозяйствования","","","1","","Income","CZK"
"C.2. - Výsledek hospodaření běžného účetního období / Ergebnis des laufenden Buchhaltezeitraums / Резултат текущего периода","C. - VÝSLEDEK HOSPODAŘENÍ / Ergebnis der Haushaltsführung / Результат хозяйствования","","","1","","Income","CZK"
"A.II. - Dlouhodobý hmotný majetek / Langfristige materielle Vermögenswerte / Долгосрочные материальные активы","A. - Stálá aktiva / Anlagevermögen / Инвестиционные активы","","","1","","Asset","CZK"
"A.IV. - Dlouhodobé pohledávky / Langfristige Forderungen / Долгосрочные дебиторские задолженности","A. - Stálá aktiva / Anlagevermögen / Инвестиционные активы","","","1","","Asset","CZK"
"B.II. - Krátkodobé pohledávky / Kurzfristige Forderungen / Краткосрочные дебиторские задолженности","B. - Oběžná aktiva / Umlaufvermögen / Оборотные активы","","","1","","Asset","CZK"
"C.II. - Fondy účetní jednotky / Fonds der Buchungseinheit / Фонды учетной единицы","C. - Vlastní kapitál / Eigenkapital / Собственный капитал","","","1","","Equity","CZK"
"C.IV. - Příjmový a výdajový účet rozpočtového hospodaření / Einnahmen- und Ausgabenkonto des Haushaltsplans / Д/Р счет бюджета","C. - Vlastní kapitál / Eigenkapital / Собственный капитал","","","1","","Equity","CZK"
"D.II. - Dlouhodobé závazky / Langfristige Verbindlichkeiten / Долгосрочные обязательства","D. - Cizí zdroje / Verbindlichkeiten / Обязательства","","","1","","Liability","CZK"
"A.II. - Finanční náklady / Finanzkosten / Финансовые расходы","A. - NÁKLADY CELKEM / Gesamtkosten / Общие расходы","","","1","","Expense","CZK"
"A.IV. - Náklady ze sdílených daní a poplatků / Kosten aus geteilten Steuern und Gebühren / Расх. из совм. налогов/сборов","A. - NÁKLADY CELKEM / Gesamtkosten / Общие расходы","","","1","","Expense","CZK"
"B.II. - Finanční výnosy / Finanzierungseinnahmen / Финансовые доходы","B. - VÝNOSY CELKEM / Gesamteinnahmen / Общие доходы","","","1","","Income","CZK"
"B.IV. - Výnosy z transferů / Einnahmen aus Transfers / Доходы от трансфертов","B. - VÝNOSY CELKEM / Gesamteinnahmen / Общие доходы","","","1","","Income","CZK"
"A.I.1. - Nehmotné výsledky výzkumu a vývoje / Immaterielle Ergebnisse der Forschung und Entwicklung / НРиР","A.I. - Dlouhodobý nehmotný majetek / Langfristige immaterielle Vermögenswerte / Долгосрочные нематериальные активы","","","1","","Asset","CZK"
