"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Assets - Aktiva - 资产","","","","1","","Asset","CZK"
"Liabilities - Pasiva - 负债","","","","1","","Liability","CZK"
"Equity - Vlastní kapitál - 权益","","","","1","","Equity","CZK"
"Expenses - Náklady - 费用","","","","1","Expense Account","Expense","CZK"
"Income - Výnosy - 收入","","","","1","Income Account","Income","CZK"
"A. - Stálá aktiva / Fixed Assets","Assets - Aktiva - 资产","","","1","","Asset","CZK"
"B. - Oběžná aktiva / Current Assets","Assets - Aktiva - 资产","","","1","","Asset","CZK"
"C. - Vlastní kapitál / Equity","Equity - Vlastní kapitál - 权益","","","1","","Equity","CZK"
"D. - Cizí zdroje / Liabilities","Liabilities - Pasiva - 负债","","","1","","Liability","CZK"
"A. - NÁKLADY CELKEM / Total Expenses","Expenses - Náklady - 费用","","","1","","Expense","CZK"
"B. - VÝNOSY CELKEM / Total Revenues","Income - Výnosy - 收入","","","1","","Income","CZK"
"C. - VÝSLEDEK HOSPODAŘENÍ / Operating Result","Income - Výnosy - 收入","","","1","","Income","CZK"
"A.I. - Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","A. - Stálá aktiva / Fixed Assets","","","1","","Asset","CZK"
"B.I. - Zásoby / Inventories","B. - Oběžná aktiva / Current Assets","","","1","","Asset","CZK"
"C.I. - Jmění účetní jednotky a upravující položky / Net Assets of Accounting Units and Adjusting Items","C. - Vlastní kapitál / Equity","","","1","","Equity","CZK"
"D.I. - Rezervy / Provisions","D. - Cizí zdroje / Liabilities","","","1","","Liability","CZK"
"A.I. - Náklady z činnosti / Expenses from Operations","A. - NÁKLADY CELKEM / Total Expenses","","","1","","Expense","CZK"
"A.V. - Daň z příjmů / Income Tax","A. - NÁKLADY CELKEM / Total Expenses","","","1","","Expense","CZK"
"B.I. - Výnosy z činnosti / Revenues from Operations","B. - VÝNOSY CELKEM / Total Revenues","","","1","","Income","CZK"
"B.V. - Výnosy ze sdílených daní a poplatků / Revenues from Shared Taxes and Fees","B. - VÝNOSY CELKEM / Total Revenues","","","1","","Income","CZK"
"C.1. - Výsledek hospodaření před zdaněním / Operating Result Before Tax","C. - VÝSLEDEK HOSPODAŘENÍ / Operating Result","","","1","","Income","CZK"
"C.2. - Výsledek hospodaření běžného účetního období / Operating Result of the Current Financial Year","C. - VÝSLEDEK HOSPODAŘENÍ / Operating Result","","","1","","Income","CZK"
"A.II. - Dlouhodobý hmotný majetek / Long-term Tangible Assets","A. - Stálá aktiva / Fixed Assets","","","1","","Asset","CZK"
"A.IV. - Dlouhodobé pohledávky / Long-term Receivables","A. - Stálá aktiva / Fixed Assets","","","1","","Asset","CZK"
"B.II. - Krátkodobé pohledávky / Short-term Receivables","B. - Oběžná aktiva / Current Assets","","","1","","Asset","CZK"
"C.II. - Fondy účetní jednotky / Accounting Unit Funds","C. - Vlastní kapitál / Equity","","","1","","Equity","CZK"
"C.IV. - Příjmový a výdajový účet rozpočtového hospodaření / Revenue and Expenditure Account of Budgetary Operations","C. - Vlastní kapitál / Equity","","","1","","Equity","CZK"
"D.II. - Dlouhodobé závazky / Long-term Liabilities","D. - Cizí zdroje / Liabilities","","","1","","Liability","CZK"
"A.II. - Finanční náklady / Financial Expenses","A. - NÁKLADY CELKEM / Total Expenses","","","1","","Expense","CZK"
"A.IV. - Náklady ze sdílených daní a poplatků / Costs from Shared Taxes and Fees","A. - NÁKLADY CELKEM / Total Expenses","","","1","","Expense","CZK"
"B.II. - Finanční výnosy / Financial Income","B. - VÝNOSY CELKEM / Total Revenues","","","1","","Income","CZK"
"B.IV. - Výnosy z transferů / Revenue from Transfers","B. - VÝNOSY CELKEM / Total Revenues","","","1","","Income","CZK"
"A.I.1. - Nehmotné výsledky výzkumu a vývoje / Intangible Assets - Research and Development","A.I. - Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","","","1","","Asset","CZK"
"012 - Nehmotné výsledky výzkumu a vývoje / Intangible Assets - Research and Development","A.I.1. - Nehmotné výsledky výzkumu a vývoje / Intangible Assets - Research and Development","012","","0","","Asset","CZK"
"A.I.2. - Software / Software","A.I. - Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","","","1","","Asset","CZK"
"013 - Software / Software","A.I.2. - Software / Software","013","","0","","Asset","CZK"
"A.I.3. - Ocenitelná práva / Valuable Rights","A.I. - Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","","","1","","Asset","CZK"
"014 - Ocenitelná práva / Valuable Rights","A.I.3. - Ocenitelná práva / Valuable Rights","014","","0","","Asset","CZK"
"A.I.4. - Povolenky na emise a preferenční limity / Emission Permits and Preferential Limits","A.I. - Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","","","1","","Asset","CZK"
"015 - Povolenky na emise a preferenční limity / Emission Permits and Preferential Limits","A.I.4. - Povolenky na emise a preferenční limity / Emission Permits and Preferential Limits","015","","0","","Asset","CZK"
"A.I.5. - Drobný dlouhodobý nehmotný majetek / Minor Long-term Intangible Assets","A.I. - Dlouhodobý nehmotný majetek / Intangible Assets - Long-term","","","1","","Asset","CZK"
"018 - Drobný dlouhodobý nehmotný majetek / Minor Long-term Intangible Assets","A.I.5. - Drobný dlouhodobý nehmotný majetek / Minor Long-term Intangible Assets","018","","0","","Asset","CZK"
