"Account Name","Parent Account","Account Number","Parent Account Number","Is Group","Account Type","Root Type","Account Currency"
"Assets - Aktiva - 资产","","","","1","","Asset","CZK"
"Liabilities - Pasiva - 负债","","","","1","","Liability","CZK"
"Equity - Vlastní kapitál - 权益","","","","1","","Equity","CZK"
"Expenses - Náklady - 费用","","","","1","Expense Account","Expense","CZK"
"Income - Výnosy - 收入","","","","1","Income Account","Income","CZK"
"A. - Stálá aktiva","Assets - Aktiva - 资产","","","1","","Asset","CZK"
"B. - Oběžná aktiva","Assets - Aktiva - 资产","","","1","","Asset","CZK"
"C. - Vlastní kapitál","Equity - Vlastní kapitál - 权益","","","1","","Equity","CZK"
"D. - Cizí zdroje","Liabilities - Pasiva - 负债","","","1","","Liability","CZK"
"A. - NÁKLADY CELKEM","Expenses - Náklady - 费用","","","1","","Expense","CZK"
"B. - VÝNOSY CELKEM","Income - Výnosy - 收入","","","1","","Income","CZK"
"C. - VÝSLEDEK HOSPODAŘENÍ","Income - Výnosy - 收入","","","1","","Income","CZK"
"A.I. - Dlouhodobý nehmotný majetek","A. - Stálá aktiva","","","1","","Asset","CZK"
"B.I. - Zásoby","B. - Oběžná aktiva","","","1","","Asset","CZK"
"C.I. - Jmění účetní jednotky a upravující položky","C. - Vlastní kapitál","","","1","","Equity","CZK"
"D.I. - Rezervy","D. - Cizí zdroje","","","1","","Liability","CZK"
"A.I. - Náklady z činnosti","A. - NÁKLADY CELKEM","","","1","","Expense","CZK"
"A.V. - Daň z příjmů","A. - NÁKLADY CELKEM","","","1","","Expense","CZK"
"B.I. - Výnosy z činnosti","B. - VÝNOSY CELKEM","","","1","","Income","CZK"
"B.V. - Výnosy ze sdílených daní a poplatků","B. - VÝNOSY CELKEM","","","1","","Income","CZK"
"C.1. - Výsledek hospodaření před zdaněním","C. - VÝSLEDEK HOSPODAŘENÍ","","","1","","Income","CZK"
"C.2. - Výsledek hospodaření běžného účetního období","C. - VÝSLEDEK HOSPODAŘENÍ","","","1","","Income","CZK"
"A.II. - Dlouhodobý hmotný majetek","A. - Stálá aktiva","","","1","","Asset","CZK"
"A.IV. - Dlouhodobé pohledávky","A. - Stálá aktiva","","","1","","Asset","CZK"
"B.II. - Krátkodobé pohledávky","B. - Oběžná aktiva","","","1","","Asset","CZK"
"C.II. - Fondy účetní jednotky","C. - Vlastní kapitál","","","1","","Equity","CZK"
"C.IV. - Příjmový a výdajový účet rozpočtového hospodaření","C. - Vlastní kapitál","","","1","","Equity","CZK"
"D.II. - Dlouhodobé závazky","D. - Cizí zdroje","","","1","","Liability","CZK"
"A.II. - Finanční náklady","A. - NÁKLADY CELKEM","","","1","","Expense","CZK"
"A.IV. - Náklady ze sdílených daní a poplatků","A. - NÁKLADY CELKEM","","","1","","Expense","CZK"
"B.II. - Finanční výnosy","B. - VÝNOSY CELKEM","","","1","","Income","CZK"
"B.IV. - Výnosy z transferů","B. - VÝNOSY CELKEM","","","1","","Income","CZK"
"A.I.1. - Nehmotné výsledky výzkumu a vývoje","A.I. - Dlouhodobý nehmotný majetek","","","1","","Asset","CZK"
"012 - Nehmotné výsledky výzkumu a vývoje","A.I.1. - Nehmotné výsledky výzkumu a vývoje","012","","0","","Asset","CZK"
"A.I.2. - Software","A.I. - Dlouhodobý nehmotný majetek","","","1","","Asset","CZK"
"013 - Software","A.I.2. - Software","013","","0","","Asset","CZK"
"A.I.3. - Ocenitelná práva","A.I. - Dlouhodobý nehmotný majetek","","","1","","Asset","CZK"
"014 - Ocenitelná práva","A.I.3. - Ocenitelná práva","014","","0","","Asset","CZK"
"A.I.4. - Povolenky na emise a preferenční limity","A.I. - Dlouhodobý nehmotný majetek","","","1","","Asset","CZK"
"015 - Povolenky na emise a preferenční limity","A.I.4. - Povolenky na emise a preferenční limity","015","","0","","Asset","CZK"
"A.I.5. - Drobný dlouhodobý nehmotný majetek","A.I. - Dlouhodobý nehmotný majetek","","","1","","Asset","CZK"
"018 - Drobný dlouhodobý nehmotný majetek","A.I.5. - Drobný dlouhodobý nehmotný majetek","018","","0","","Asset","CZK"
"A.I.6. - Ostatní dlouhodobý nehmotný majetek","A.I. - Dlouhodobý nehmotný majetek","","","1","","Asset","CZK"
"019 - Ostatní dlouhodobý nehmotný majetek","A.I.6. - Ostatní dlouhodobý nehmotný majetek","019","","0","","Asset","CZK"
"A.I.7. - Nedokončený dlouhodobý nehmotný majetek","A.I. - Dlouhodobý nehmotný majetek","","","1","","Asset","CZK"
"041 - Nedokončený dlouhodobý nehmotný majetek","A.I.7. - Nedokončený dlouhodobý nehmotný majetek","041","","0","","Asset","CZK"
"A.I.8. - Poskytnuté zálohy na dlouhodobý nehmotný majetek","A.I. - Dlouhodobý nehmotný majetek","","","1","","Asset","CZK"
"051 - Poskytnuté zálohy na dlouhodobý nehmotný majetek","A.I.8. - Poskytnuté zálohy na dlouhodobý nehmotný majetek","051","","0","","Asset","CZK"
"A.I.9. - Dlouhodobý nehmotný majetek určený k prodeji","A.I. - Dlouhodobý nehmotný majetek","","","1","","Asset","CZK"
"035 - Dlouhodobý nehmotný majetek určený k prodeji","A.I.9. - Dlouhodobý nehmotný majetek určený k prodeji","035","","0","","Asset","CZK"
"A.III. - Dlouhodobý finanční majetek","A. - Stálá aktiva","","","1","","Asset","CZK"
"AKTIVA - Aktiva celkem","Assets - Aktiva - 资产","","","1","","Asset","CZK"
